station,date,PM2.5,PM10,SO2,NO2,CO,O3
Aotizhongxin,2013-03-01,7.125,10.75,11.708333333333334,22.583333333333332,700.0,77.0
Aotizhongxin,2013-03-02,30.75,42.083333333333336,36.625,66.66666666666667,1700.0,52.0
Aotizhongxin,2013-03-03,76.91666666666667,120.54166666666667,61.291666666666664,81.0,2799.0,77.0
Aotizhongxin,2013-03-04,22.708333333333332,44.583333333333336,22.869565217391305,46.95652173913044,1300.0,84.0
Aotizhongxin,2013-03-05,148.875,183.79166666666666,93.875,132.83333333333334,4400.0,84.0
Aotizhongxin,2013-03-06,223.25,265.1666666666667,116.2367,142.05938333333333,4200.0,28.0
Aotizhongxin,2013-03-07,263.375,316.0833333333333,97.54166666666667,147.75,5700.0,84.0
Aotizhongxin,2013-03-08,221.45833333333334,297.9583333333333,68.56302608695651,118.83595217391304,5200.0,84.0
Aotizhongxin,2013-03-09,62.041666666666664,211.08695652173913,33.333333333333336,45.0,2600.0,82.0
Aotizhongxin,2013-03-10,34.291666666666664,68.91666666666667,22.916666666666668,49.666666666666664,1500.0,84.0
Aotizhongxin,2013-03-11,123.79166666666667,178.29166666666666,86.875,90.66666666666667,2600.0,84.0
Aotizhongxin,2013-03-12,122.79166666666667,117.16666666666667,27.5,72.875,2100.0,47.0
Aotizhongxin,2013-03-13,16.041666666666668,19.333333333333332,16.25,36.083333333333336,800.0,77.0
Aotizhongxin,2013-03-14,95.16666666666667,107.29166666666667,51.916666666666664,70.375,1700.0,77.0
Aotizhongxin,2013-03-15,212.29166666666666,250.625,75.58333333333333,99.41666666666667,3200.0,52.0
Aotizhongxin,2013-03-16,244.875,257.9166666666667,70.125,90.375,3299.0,94.0
Aotizhongxin,2013-03-17,284.5416666666667,309.6666666666667,73.66666666666667,113.875,3500.0,107.0
Aotizhongxin,2013-03-18,70.66666666666667,118.04166666666667,19.625,46.166666666666664,4099.0,107.0
Aotizhongxin,2013-03-19,41.0,49.125,16.5,49.166666666666664,1200.0,36.0
Aotizhongxin,2013-03-20,48.916666666666664,47.791666666666664,12.5,41.541666666666664,1300.0,70.0
Aotizhongxin,2013-03-21,148.95833333333334,161.75,21.666666666666668,85.75,1899.0,26.0
Aotizhongxin,2013-03-22,90.41666666666667,144.58333333333334,26.041666666666668,70.375,1700.0,66.0
Aotizhongxin,2013-03-23,52.75,88.66666666666667,29.708333333333332,57.625,1500.0,78.0
Aotizhongxin,2013-03-24,18.541666666666668,37.625,12.208333333333334,35.5,1449.5,81.0
Aotizhongxin,2013-03-25,102.25,143.33333333333334,52.5,87.25,1399.0,82.0
Aotizhongxin,2013-03-26,187.45833333333334,251.33333333333334,75.08333333333333,106.29166666666667,2899.0,47.0
Aotizhongxin,2013-03-27,91.625,122.91666666666667,20.705882352941178,42.958333333333336,2399.0,93.6054
Aotizhongxin,2013-03-28,28.333333333333332,54.791666666666664,12.666666666666666,39.833333333333336,1500.0,88.0
Aotizhongxin,2013-03-29,87.875,140.41666666666666,47.166666666666664,88.5,3299.0,48.0
Aotizhongxin,2013-03-30,79.54166666666667,111.16666666666667,62.083333333333336,68.20833333333333,2799.0,76.0
Aotizhongxin,2013-03-31,174.25,194.0,14.625,72.66666666666667,1700.0,8.0
Aotizhongxin,2013-04-01,94.91666666666667,112.58333333333333,17.125,39.083333333333336,3299.0,103.0
Aotizhongxin,2013-04-02,99.58333333333333,140.54166666666666,40.0,68.95833333333333,2200.0,126.0
Aotizhongxin,2013-04-03,124.16666666666667,204.58333333333334,50.75,87.70833333333333,3200.0,115.0
Aotizhongxin,2013-04-04,66.66666666666667,110.75,62.125,84.58333333333333,3000.0,40.0
Aotizhongxin,2013-04-05,54.666666666666664,49.583333333333336,12.041666666666666,41.083333333333336,2299.0,80.0
Aotizhongxin,2013-04-06,11.0,23.083333333333332,7.708333333333333,27.041666666666668,700.0,89.0
Aotizhongxin,2013-04-07,79.25,126.83333333333333,41.666666666666664,71.875,3100.0,78.0
Aotizhongxin,2013-04-08,25.833333333333332,123.83333333333333,7.625,21.375,700.0,83.0
Aotizhongxin,2013-04-09,11.791666666666666,28.916666666666668,5.708333333333333,14.416666666666666,500.0,89.0
Aotizhongxin,2013-04-10,12.75,30.0,6.583333333333333,32.458333333333336,900.0,82.0386
Aotizhongxin,2013-04-11,22.916666666666668,63.708333333333336,10.636866666666666,61.52594166666666,1300.0,91.6776
Aotizhongxin,2013-04-12,53.833333333333336,135.04166666666666,23.48183333333333,87.80354583333333,1100.0,88.0
Aotizhongxin,2013-04-13,61.583333333333336,136.79166666666666,27.208333333333332,53.5,1300.0,84.0
Aotizhongxin,2013-04-14,34.875,109.375,13.875,41.5,1700.0,94.0
Aotizhongxin,2013-04-15,74.70833333333333,181.95833333333334,50.541666666666664,74.29166666666667,2399.0,100.0
